1, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
95, towns_and_towers:pillager_outpost_snowy_slopes, MONSTER, minecraft:pillager, 5, 1, 2
96, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
97, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
98, imst:farm/warped_fungus, HEADING, header:ignore, 0, 0, 0
99, towns_and_towers:pillager_outpost_swamp, HEADING, header:ignore, 0, 0, 0
100, towns_and_towers:pillager_outpost_swamp, MONSTER, minecraft:pillager, 5, 1, 2
101, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
102, stellarity:return_gateways/bloody_flying, HEADING, header:ignore, 0, 0, 0
103, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
104, imst:mine/warped_mine, HEADING, header:ignore, 0, 0, 0
105, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
106, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
107, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
108, imst:mine/crimson_mine, HEADING, header:ignore, 0, 0, 0
109, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
110, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
111, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
112, stellarity:village, HEADING, header:ignore, 0, 0, 0
113, betterarcheology:temple_jungle, HEADING, header:ignore, 0, 0, 0
114, adv:normal_medium_dungeon, HEADING, header:ignore, 0, 0, 0
115, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
116, towns_and_towers:exclusives/pillager_outpost_classic, MONSTER, minecraft:pillager, 5, 1, 2
117, towns_and_towers:wreckage_ocean, HEADING, header:ignore, 0, 0, 0
118, profundis:mushroom_house, HEADING, header:ignore, 0, 0, 0
119, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
120, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 5, 1, 2
121, betterarcheology:fossil_jungle_0, HEADING, header:ignore, 0, 0, 0
122, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
123, towns_and_towers:exclusives/pillager_outpost_iberian, MONSTER, minecraft:pillager, 5, 1, 2
124, towns_and_towers:village_jungle, HEADING, header:ignore, 0, 0, 0
125, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
126, towns_and_towers:pillager_outpost_desert, HEADING, header:ignore, 0, 0, 0
127, towns_and_towers:pillager_outpost_desert, MONSTER, minecraft:pillager, 5, 1, 2
128, stellarity:old_stronghold, HEADING, header:ignore, 0, 0, 0
129, towns_and_towers:village_sunflower_plains, HEADING, header:ignore, 0, 0, 0
130, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
131, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
132, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
133, joshie:village_ocean, HEADING, header:ignore, 0, 0, 0
134, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
135, towns_and_towers:village_snowy_slopes, HEADING, header:ignore, 0, 0, 0
136, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
137, towns_and_towers:pillager_outpost_wooded_badlands, HEADING, header:ignore, 0, 0, 0
138, towns_and_towers:pillager_outpost_wooded_badlands, MONSTER, minecraft:pillager, 5, 1, 2
139, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
140, incendium:piglin_village, HEADING, header:ignore, 0, 0, 0
141, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
142, towns_and_towers:pillager_outpost_birch_forest, HEADING, header:ignore, 0, 0, 0
143, towns_and_towers:pillager_outpost_birch_forest, MONSTER, minecraft:pillager, 5, 1, 2
144, betterarcheology:archeologist_camp_sand, HEADING, header:ignore, 0, 0, 0
145, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
146, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
147, towns_and_towers:village_snowy_taiga, HEADING, header:ignore, 0, 0, 0
148, hopo:birch_mineshaft, HEADING, header:ignore, 0, 0, 0
149, betterarcheology:underwater_3, HEADING, header:ignore, 0, 0, 0
150, hopo:mud_mineshaft, HEADING, header:ignore, 0, 0, 0
151, betterarcheology:fossil_chicken, HEADING, header:ignore, 0, 0, 0
152, towns_and_towers:mimic_desert, HEADING, header:ignore, 0, 0, 0
153, towns_and_towers:pillager_outpost_meadow, HEADING, header:ignore, 0, 0, 0
154, towns_and_towers:pillager_outpost_meadow, MONSTER, minecraft:pillager, 5, 1, 2
155, hopo:bamboo_mineshaft, HEADING, header:ignore, 0, 0, 0
156, betterarcheology:stonehenge_grassy, HEADING, header:ignore, 0, 0, 0
157, profundis:cabin, HEADING, header:ignore, 0, 0, 0
158, towns_and_towers:pillager_outpost_old_growth_taiga, HEADING, header:ignore, 0, 0, 0
159, towns_and_towers:pillager_outpost_old_growth_taiga, MONSTER, minecraft:pillager, 5, 1, 2
160, towns_and_towers:pillager_outpost_snowy_beach, HEADING, header:ignore, 0, 0, 0
161, towns_and_towers:pillager_outpost_snowy_beach, MONSTER, minecraft:pillager, 5, 1, 2
162, incendium:quartz_kitchen, HEADING, header:ignore, 0, 0, 0
163, profundis:amethyst_dungeon, HEADING, header:ignore, 0, 0, 0
164, hopo:acacia_mineshaft, HEADING, header:ignore, 0, 0, 0
165, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
166, betterarcheology:fossil_chicken_birch, HEADING, header:ignore, 0, 0, 0
167, betterarcheology:archeologist_camp_grassy, HEADING, header:ignore, 0, 0, 0
168, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
169, betterarcheology:mott, HEADING, header:ignore, 0, 0, 0
170, imst:farm/crimson_fungus, HEADING, header:ignore, 0, 0, 0
171, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
172, minecraft:monument, HEADING, header:ignore, 0, 0, 0
173, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
174, towns_and_towers:pillager_outpost_savanna, HEADING, header:ignore, 0, 0, 0
175, towns_and_towers:pillager_outpost_savanna, MONSTER, minecraft:pillager, 5, 1, 2
176, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
177, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
178, hopo:stone_mineshaft, HEADING, header:ignore, 0, 0, 0
179, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
180, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
181, hopo:piglin_ruin, HEADING, header:ignore, 0, 0, 0
182, betterarcheology:tumulus_grassy, HEADING, header:ignore, 0, 0, 0
183, betterarcheology:underwater_0, HEADING, header:ignore, 0, 0, 0
184, hopo:portal, HEADING, header:ignore, 0, 0, 0
185, stellarity:chapel_of_light, HEADING, header:ignore, 0, 0, 0
186, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
187, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
188, stellarity:fossil, HEADING, header:ignore, 0, 0, 0
189, betterarcheology:underwater_1, HEADING, header:ignore, 0, 0, 0
190, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
191, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
192, soulsweapons:champions_graves, HEADING, header:ignore, 0, 0, 0
193, towns_and_towers:village_forest, HEADING, header:ignore, 0, 0, 0
194, profundis:ice_dungeon, HEADING, header:ignore, 0, 0, 0
195, adv:normal_creeper_dungeon, HEADING, header:ignore, 0, 0, 0
196, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
197, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
198, towns_and_towers:village_ocean, HEADING, header:ignore, 0, 0, 0
199, towns_and_towers:village_flower_forest, HEADING, header:ignore, 0, 0, 0
200, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
201, soulsweapons:decaying_kingdom, HEADING, header:ignore, 0, 0, 0
202, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
203, deeper_dark:amethyst_mineshaft, HEADING, header:ignore, 0, 0, 0
204, incendium:nether_reactor, HEADING, header:ignore, 0, 0, 0
205, betterarcheology:fossil_sheep_0, HEADING, header:ignore, 0, 0, 0
206, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
207, towns_and_towers:pillager_outpost_ocean, HEADING, header:ignore, 0, 0, 0
208, towns_and_towers:pillager_outpost_ocean, MONSTER, minecraft:pillager, 5, 1, 2
209, stellarity:obsidian_spike, HEADING, header:ignore, 0, 0, 0
210, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
211, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
212, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
213, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
214, blessed:tall_tower, HEADING, header:ignore, 0, 0, 0
215, towns_and_towers:pillager_outpost_badlands, HEADING, header:ignore, 0, 0, 0
216, towns_and_towers:pillager_outpost_badlands, MONSTER, minecraft:pillager, 5, 1, 2
217, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
218, stellarity:campsite, HEADING, header:ignore, 0, 0, 0
219, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
220, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 3
221, towns_and_towers:village_meadow, HEADING, header:ignore, 0, 0, 0
222, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
223, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
224, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
225, betterarcheology:archeologist_camp_redsand, HEADING, header:ignore, 0, 0, 0
226, betterarcheology:fossil_creeper, HEADING, header:ignore, 0, 0, 0
227, bakery:bakery, HEADING, header:ignore, 0, 0, 0
228, bakery:bakery, CREATURE, minecraft:pig, 5, 1, 4
229, incendium:infernal_altar, HEADING, header:ignore, 0, 0, 0
230, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
231, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
232, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
233, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
234, hopo:deepslate_mineshaft, HEADING, header:ignore, 0, 0, 0
235, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
236, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
237, incendium:pipeline, HEADING, header:ignore, 0, 0, 0
238, stellarity:return_gateways/base_flying, HEADING, header:ignore, 0, 0, 0
239, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
240, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 5, 1, 1
241, towns_and_towers:pillager_outpost_taiga, HEADING, header:ignore, 0, 0, 0
242, towns_and_towers:pillager_outpost_taiga, MONSTER, minecraft:pillager, 5, 1, 2
243, towns_and_towers:pillager_outpost_flower_forest, HEADING, header:ignore, 0, 0, 0
244, towns_and_towers:pillager_outpost_flower_forest, MONSTER, minecraft:pillager, 5, 1, 2
245, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
246, towns_and_towers:exclusives/pillager_outpost_tudor, MONSTER, minecraft:pillager, 5, 1, 2
247, towns_and_towers:pillager_outpost_snowy_taiga, HEADING, header:ignore, 0, 0, 0
248, towns_and_towers:pillager_outpost_snowy_taiga, MONSTER, minecraft:pillager, 5, 1, 2
249, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
250, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
251, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
252, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 5, 1, 2
253, towns_and_towers:village_mushroom_fields, HEADING, header:ignore, 0, 0, 0
254, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
255, tlc:lost_castle, HEADING, header:ignore, 0, 0, 0
