1, private, profundis:amethyst_caves, MONSTER, minecraft:spider, 80, 4, 4
39, private, profundis:arid_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
40, forest, wilderwild:arid_forest, MONSTER, minecraft:spider, 80, 4, 4
41, forest, wilderwild:arid_forest, MONSTER, minecraft:zombie, 80, 4, 4
42, forest, wilderwild:arid_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
43, forest, wilderwild:arid_forest, MONSTER, minecraft:skeleton, 80, 4, 4
44, forest, wilderwild:arid_forest, MONSTER, minecraft:creeper, 80, 4, 4
45, forest, wilderwild:arid_forest, MONSTER, minecraft:slime, 80, 4, 4
46, forest, wilderwild:arid_forest, MONSTER, minecraft:enderman, 10, 1, 4
47, forest, wilderwild:arid_forest, MONSTER, minecraft:witch, 5, 1, 1
48, forest, wilderwild:arid_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
49, forest, wilderwild:arid_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
50, forest, wilderwild:arid_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
51, forest, wilderwild:arid_forest, CREATURE, mythicmobs:drake, 5, 1, 4
52, forest, wilderwild:arid_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
53, forest, wilderwild:arid_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
54, forest, wilderwild:arid_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
55, forest, wilderwild:arid_forest, AMBIENT, minecraft:bat, 10, 8, 8
56, forest, wilderwild:arid_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
57, forest, wilderwild:arid_forest, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
58, forest, wilderwild:arid_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
59, private, wilderwild:arid_savanna, MONSTER, minecraft:spider, 80, 4, 4
60, private, wilderwild:arid_savanna, MONSTER, minecraft:zombie, 80, 4, 4
61, private, wilderwild:arid_savanna, MONSTER, minecraft:zombie_villager, 5, 1, 1
62, private, wilderwild:arid_savanna, MONSTER, minecraft:skeleton, 80, 4, 4
63, private, wilderwild:arid_savanna, MONSTER, minecraft:creeper, 80, 4, 4
64, private, wilderwild:arid_savanna, MONSTER, minecraft:slime, 80, 4, 4
65, private, wilderwild:arid_savanna, MONSTER, minecraft:enderman, 10, 1, 4
66, private, wilderwild:arid_savanna, MONSTER, minecraft:witch, 5, 1, 1
67, private, wilderwild:arid_savanna, MONSTER, mythicmobs:chupacabra, 20, 1, 1
68, private, wilderwild:arid_savanna, MONSTER, mythicmounts:dragon, 80, 1, 1
69, private, wilderwild:arid_savanna, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
70, private, wilderwild:arid_savanna, CREATURE, minecraft:sheep, 12, 4, 4
71, private, wilderwild:arid_savanna, CREATURE, minecraft:pig, 10, 4, 4
72, private, wilderwild:arid_savanna, CREATURE, minecraft:chicken, 10, 4, 4
73, private, wilderwild:arid_savanna, CREATURE, minecraft:cow, 8, 4, 4
74, private, wilderwild:arid_savanna, CREATURE, mythicmobs:drake, 5, 1, 4
75, private, wilderwild:arid_savanna, CREATURE, mythicmobs:kobold, 10, 3, 6
76, private, wilderwild:arid_savanna, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
77, private, wilderwild:arid_savanna, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
78, private, wilderwild:arid_savanna, AMBIENT, minecraft:bat, 10, 8, 8
79, private, wilderwild:arid_savanna, AMBIENT, mythicmounts:firebird, 5, 1, 1
80, private, wilderwild:arid_savanna, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
81, private, wilderwild:arid_savanna, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
82, nether, incendium:ash_barrens, MONSTER, minecraft:ghast, 20, 1, 1
83, nether, incendium:ash_barrens, MONSTER, minecraft:magma_cube, 80, 2, 7
84, nether, incendium:ash_barrens, MONSTER, minecraft:piglin, 80, 1, 1
85, nether, incendium:ash_barrens, MONSTER, minecraft:zombified_piglin, 5, 1, 4
86, nether, incendium:ash_barrens, CREATURE, minecraft:strider, 60, 1, 2
87, private, far_end:ashfall_delta, MONSTER, minecraft:wither_skeleton, 7, 1, 2
88, private, far_end:ashfall_delta, MONSTER, minecraft:skeleton, 11, 2, 2
89, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
90, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
91, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
92, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
93, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
94, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
95, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 10, 1, 4
96, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
97, badlands, minecraft:badlands, MONSTER, mythicmobs:chupacabra, 20, 1, 1
98, badlands, minecraft:badlands, MONSTER, mythicmounts:dragon, 80, 1, 1
99, badlands, minecraft:badlands, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
100, badlands, minecraft:badlands, CREATURE, mythicmobs:drake, 5, 1, 4
101, badlands, minecraft:badlands, CREATURE, mythicmobs:kobold, 10, 3, 6
102, badlands, minecraft:badlands, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
103, badlands, minecraft:badlands, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
104, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
105, badlands, minecraft:badlands, AMBIENT, mythicmounts:firebird, 5, 1, 1
106, badlands, minecraft:badlands, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
107, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
108, badlands, minecraft:badlands, WILDERWILDTUMBLEWEED, wilderwild:tumbleweed, 60, 1, 1
109, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
110, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
111, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
112, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
113, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
114, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
115, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
116, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
117, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
118, jungle, minecraft:bamboo_jungle, MONSTER, mythicmobs:chupacabra, 20, 1, 1
119, jungle, minecraft:bamboo_jungle, MONSTER, mythicmounts:dragon, 80, 1, 1
120, jungle, minecraft:bamboo_jungle, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
121, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
122, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
123, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
124, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 8, 4, 4
125, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
126, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
127, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
128, jungle, minecraft:bamboo_jungle, CREATURE, mythicmounts:courierbird, 12, 2, 4
129, jungle, minecraft:bamboo_jungle, CREATURE, mythicmobs:drake, 5, 1, 4
130, jungle, minecraft:bamboo_jungle, CREATURE, mythicmobs:kobold, 10, 3, 6
131, jungle, minecraft:bamboo_jungle, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
132, jungle, minecraft:bamboo_jungle, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
133, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
134, jungle, minecraft:bamboo_jungle, AMBIENT, mythicmounts:firebird, 5, 1, 1
135, jungle, minecraft:bamboo_jungle, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
136, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
137, jungle, minecraft:bamboo_jungle, WILDERWILDFIREFLIES, wilderwild:firefly, 5, 1, 2
138, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
139, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
140, nether, minecraft:basalt_deltas, MONSTER, mythicmounts:nightmare, 80, 2, 3
141, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 5, 1, 4
142, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
143, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
144, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
145, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 5, 1, 1
146, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
147, beach, minecraft:beach, MONSTER, minecraft:creeper, 80, 4, 4
148, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
149, beach, minecraft:beach, MONSTER, minecraft:enderman, 10, 1, 4
150, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
151, beach, minecraft:beach, MONSTER, mythicmobs:chupacabra, 20, 1, 1
152, beach, minecraft:beach, MONSTER, mythicmounts:dragon, 80, 1, 1
153, beach, minecraft:beach, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
154, beach, minecraft:beach, CREATURE, minecraft:turtle, 5, 2, 5
155, beach, minecraft:beach, CREATURE, varietyaquatic:crab, 50, 1, 4
156, beach, minecraft:beach, CREATURE, mythicmobs:drake, 5, 1, 4
157, beach, minecraft:beach, CREATURE, varietyaquatic:hermitcrab, 50, 1, 2
158, beach, minecraft:beach, CREATURE, mythicmobs:kobold, 10, 3, 6
159, beach, minecraft:beach, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
160, beach, minecraft:beach, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
161, beach, minecraft:beach, CREATURE, beachparty:pelican, 6, 3, 7
162, beach, minecraft:beach, CREATURE, uselessreptile:river_pikehorn, 5, 2, 6
163, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
164, beach, minecraft:beach, AMBIENT, mythicmounts:firebird, 5, 1, 1
165, beach, minecraft:beach, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
166, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
167, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
168, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
169, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
170, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
171, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
172, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
173, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
174, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
175, forest, minecraft:birch_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
176, forest, minecraft:birch_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
177, forest, minecraft:birch_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
178, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
179, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
180, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
181, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 8, 4, 4
182, forest, minecraft:birch_forest, CREATURE, mythicmobs:drake, 5, 1, 4
183, forest, minecraft:birch_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
184, forest, minecraft:birch_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
185, forest, minecraft:birch_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
186, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
187, forest, minecraft:birch_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
188, forest, minecraft:birch_forest, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
189, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
190, forest, wilderwild:birch_jungle, MONSTER, minecraft:spider, 80, 4, 4
191, forest, wilderwild:birch_jungle, MONSTER, minecraft:zombie, 80, 4, 4
192, forest, wilderwild:birch_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
193, forest, wilderwild:birch_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
194, forest, wilderwild:birch_jungle, MONSTER, minecraft:creeper, 80, 4, 4
195, forest, wilderwild:birch_jungle, MONSTER, minecraft:slime, 80, 4, 4
196, forest, wilderwild:birch_jungle, MONSTER, minecraft:enderman, 10, 1, 4
197, forest, wilderwild:birch_jungle, MONSTER, minecraft:witch, 5, 1, 1
198, forest, wilderwild:birch_jungle, MONSTER, mythicmobs:chupacabra, 20, 1, 1
199, forest, wilderwild:birch_jungle, MONSTER, mythicmounts:dragon, 80, 1, 1
200, forest, wilderwild:birch_jungle, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
201, forest, wilderwild:birch_jungle, CREATURE, minecraft:sheep, 12, 4, 4
202, forest, wilderwild:birch_jungle, CREATURE, minecraft:pig, 10, 4, 4
203, forest, wilderwild:birch_jungle, CREATURE, minecraft:chicken, 10, 4, 4
204, forest, wilderwild:birch_jungle, CREATURE, minecraft:cow, 8, 4, 4
205, forest, wilderwild:birch_jungle, CREATURE, minecraft:chicken, 10, 4, 4
206, forest, wilderwild:birch_jungle, CREATURE, mythicmobs:drake, 5, 1, 4
207, forest, wilderwild:birch_jungle, CREATURE, mythicmobs:kobold, 10, 3, 6
208, forest, wilderwild:birch_jungle, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
209, forest, wilderwild:birch_jungle, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
210, forest, wilderwild:birch_jungle, AMBIENT, minecraft:bat, 10, 8, 8
211, forest, wilderwild:birch_jungle, AMBIENT, mythicmounts:firebird, 5, 1, 1
212, forest, wilderwild:birch_jungle, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
213, forest, wilderwild:birch_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
214, forest, wilderwild:birch_jungle, WILDERWILDFIREFLIES, wilderwild:firefly, 5, 1, 2
215, forest, wilderwild:birch_taiga, MONSTER, minecraft:spider, 80, 4, 4
216, forest, wilderwild:birch_taiga, MONSTER, minecraft:zombie, 80, 4, 4
217, forest, wilderwild:birch_taiga, MONSTER, minecraft:zombie_villager, 5, 1, 1
218, forest, wilderwild:birch_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
219, forest, wilderwild:birch_taiga, MONSTER, minecraft:creeper, 80, 4, 4
220, forest, wilderwild:birch_taiga, MONSTER, minecraft:slime, 80, 4, 4
221, forest, wilderwild:birch_taiga, MONSTER, minecraft:enderman, 10, 1, 4
222, forest, wilderwild:birch_taiga, MONSTER, minecraft:witch, 5, 1, 1
223, forest, wilderwild:birch_taiga, MONSTER, mythicmobs:chupacabra, 20, 1, 1
224, forest, wilderwild:birch_taiga, MONSTER, mythicmounts:dragon, 80, 1, 1
225, forest, wilderwild:birch_taiga, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
226, forest, wilderwild:birch_taiga, CREATURE, minecraft:sheep, 12, 4, 4
227, forest, wilderwild:birch_taiga, CREATURE, minecraft:pig, 10, 4, 4
228, forest, wilderwild:birch_taiga, CREATURE, minecraft:chicken, 10, 4, 4
229, forest, wilderwild:birch_taiga, CREATURE, minecraft:cow, 8, 4, 4
230, forest, wilderwild:birch_taiga, CREATURE, minecraft:wolf, 5, 4, 4
231, forest, wilderwild:birch_taiga, CREATURE, minecraft:rabbit, 5, 2, 3
232, forest, wilderwild:birch_taiga, CREATURE, mythicmobs:drake, 5, 1, 4
233, forest, wilderwild:birch_taiga, CREATURE, mythicmobs:kobold, 10, 3, 6
234, forest, wilderwild:birch_taiga, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
235, forest, wilderwild:birch_taiga, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
236, forest, wilderwild:birch_taiga, AMBIENT, minecraft:bat, 10, 8, 8
237, forest, wilderwild:birch_taiga, AMBIENT, mythicmounts:firebird, 5, 1, 1
238, forest, wilderwild:birch_taiga, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
239, forest, wilderwild:birch_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
240, private, profundis:black_caves, MONSTER, minecraft:spider, 80, 4, 4
241, private, profundis:black_caves, MONSTER, minecraft:zombie, 80, 4, 4
242, private, profundis:black_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
243, private, profundis:black_caves, MONSTER, minecraft:skeleton, 80, 4, 4
244, private, profundis:black_caves, MONSTER, minecraft:creeper, 80, 4, 4
245, private, profundis:black_caves, MONSTER, minecraft:slime, 80, 4, 4
246, private, profundis:black_caves, MONSTER, minecraft:enderman, 10, 1, 4
247, private, profundis:black_caves, MONSTER, minecraft:witch, 5, 1, 1
248, private, profundis:black_caves, MONSTER, mythicmobs:chupacabra, 20, 1, 1
249, private, profundis:black_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
250, private, profundis:black_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
251, private, profundis:black_caves, CREATURE, mythicmobs:drake, 5, 1, 4
252, private, profundis:black_caves, CREATURE, mythicmobs:kobold, 10, 3, 6
253, private, profundis:black_caves, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
254, private, profundis:black_caves, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
255, private, profundis:black_caves, AMBIENT, minecraft:bat, 10, 8, 8
256, private, profundis:black_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
257, private, profundis:black_caves, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
258, private, profundis:black_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
259, private, stellarity:blazing_dunes, MONSTER, minecraft:blaze, 30, 1, 2
260, private, stellarity:blazing_dunes, MONSTER, minecraft:skeleton, 16, 2, 2
261, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:spider, 80, 4, 4
262, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie, 80, 4, 4
263, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
264, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:skeleton, 80, 4, 4
265, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:creeper, 80, 4, 4
266, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:slime, 80, 4, 4
267, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:enderman, 10, 1, 4
268, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 5, 1, 1
269, extreme_hills, minecraft:cherry_grove, MONSTER, mythicmobs:chupacabra, 20, 1, 1
270, extreme_hills, minecraft:cherry_grove, MONSTER, mythicmounts:dragon, 80, 1, 1
271, extreme_hills, minecraft:cherry_grove, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
272, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 5, 1, 2
273, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 5, 2, 6
274, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 5, 2, 4
275, extreme_hills, minecraft:cherry_grove, CREATURE, mythicmobs:drake, 5, 1, 4
276, extreme_hills, minecraft:cherry_grove, CREATURE, mythicmobs:kobold, 10, 3, 6
277, extreme_hills, minecraft:cherry_grove, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
278, extreme_hills, minecraft:cherry_grove, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
279, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
280, extreme_hills, minecraft:cherry_grove, AMBIENT, mythicmounts:firebird, 5, 1, 1
281, extreme_hills, minecraft:cherry_grove, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
282, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
283, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
284, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
285, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
286, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
287, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
288, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
289, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
290, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
291, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
292, ocean, minecraft:cold_ocean, MONSTER, mythicmobs:chupacabra, 20, 1, 1
293, ocean, minecraft:cold_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
294, ocean, minecraft:cold_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
295, ocean, minecraft:cold_ocean, CREATURE, mythicmobs:drake, 5, 1, 4
296, ocean, minecraft:cold_ocean, CREATURE, mythicmobs:kobold, 10, 3, 6
297, ocean, minecraft:cold_ocean, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
298, ocean, minecraft:cold_ocean, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
299, ocean, minecraft:cold_ocean, CREATURE, uselessreptile:river_pikehorn, 5, 2, 6
300, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
301, ocean, minecraft:cold_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
302, ocean, minecraft:cold_ocean, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
303, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
304, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
305, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
306, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
307, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 5, 2, 4
308, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 9, 3, 4
309, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 5, 3, 4
310, nether, minecraft:crimson_forest, MONSTER, mythicmounts:netherbat, 50, 1, 1
311, nether, minecraft:crimson_forest, MONSTER, soulsweapons:withered_demon, 20, 1, 1
312, nether, minecraft:crimson_forest, MONSTER, minecraft:ghast, 3, 4, 4
313, nether, minecraft:crimson_forest, CREATURE, minecraft:strider, 60, 1, 2
314, private, stellarity:crystal_crags, MONSTER, minecraft:enderman, 20, 4, 4
315, private, stellarity:crystal_crags, MONSTER, minecraft:skeleton, 5, 2, 3
316, private, stellarity:crystal_crags, MONSTER, minecraft:silverfish, 5, 1, 2
317, river, wilderwild:cypress_wetlands, MONSTER, minecraft:spider, 80, 4, 4
318, river, wilderwild:cypress_wetlands, MONSTER, minecraft:zombie, 80, 4, 4
319, river, wilderwild:cypress_wetlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
320, river, wilderwild:cypress_wetlands, MONSTER, minecraft:skeleton, 80, 4, 4
321, river, wilderwild:cypress_wetlands, MONSTER, minecraft:creeper, 80, 4, 4
322, river, wilderwild:cypress_wetlands, MONSTER, minecraft:slime, 80, 4, 4
323, river, wilderwild:cypress_wetlands, MONSTER, minecraft:enderman, 10, 1, 4
